"For Kimmel et al. data-set, Panther Pathway enrichment result for top 500 genes with higher pageRank in old AT2 cells ",,
Oxidative stress response Homo sapiens P00046,0.005938776,MAPK11;JUN;STAT1;BCL2;PLA2G4A
Cholesterol biosynthesis Homo sapiens P00014,0.015204353,FDPS;HMGCS1;PMVK
JAK/STAT signaling pathway Homo sapiens P00038,0.030000983,PTPRC;STAT1;STAT4
Endothelin signaling pathway Homo sapiens P00019,0.033347671,EDNRA;GNAS;PRKG2;PLA2G4A;PTGS2;PIK3CG;PRKG1;PIK3C2B
CCKR signaling map ST Homo sapiens P06959,0.037417945,JUN;MMP3;PLA2G4A;PTGS2;ELK4;CDC42;RGS2;CREB1;RHEB;BCL2;PTK2B;CTNNB1;CALM1;PRKG1
PDGF signaling pathway Homo sapiens P00047,0.053843089,ELK4;ARHGAP42;JUN;STAT1;MAPKAPK2;NCK2;STAT4;PDGFA;PIK3CG;VAV1
,,
,,
"For angelids et al. data-set,  Panther Pathway enrichment result for top 1000 genes with higher pageRank in old AT2 cells ",,
Cholesterol biosynthesis Homo sapiens P00014,1.12E-04,HMGCS1;MVD;HMGCR;FDFT1
T cell activation Homo sapiens P00053,4.73E-04,CDC42;NFKBIA;PPP3CA;NRAS;MAP3K1;NFATC3;HRAS;NFKB1
FGF signaling pathway Homo sapiens P00021,0.003427651,PPP2CB;NRAS;PRKCA;SPRY1;PPP2R5C;FGF1;HRAS;FGFR2
EGF receptor signaling pathway Homo sapiens P00018,0.006132435,PPP2CB;NRAS;STAT2;PRKCA;SPRY1;PPP2R5C;HRAS;YWHAH
Angiogenesis Homo sapiens P00005,0.009609692,NRAS;JAG1;MAP3K1;PRKCA;FGF1;HRAS;RHOA;JAK1;VEGFA
B cell activation Homo sapiens P00010,0.013903144,NFKBIA;PPP3CA;NRAS;NFATC3;HRAS
Histamine H2 receptor mediated signaling pathway Homo sapiens P04386,0.020062909,PRKAR2A;ADCY7
Ras Pathway Homo sapiens P04393,0.029315751,CDC42;NRAS;MAP3K1;HRAS;RHOA
Beta3 adrenergic receptor signaling pathway Homo sapiens P04379,0.02965621,SNAP29;ADCY7
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016,0.030945358,CDC42;ROCK1;ROCK2;TUBB4B;MYLK
Beta2 adrenergic receptor signaling pathway Homo sapiens P04378,0.032186061,PRKAR2A;ADCY7;SNAP29
Beta1 adrenergic receptor signaling pathway Homo sapiens P04377,0.032186061,PRKAR2A;ADCY7;SNAP29
5HT1 type receptor mediated signaling pathway Homo sapiens P04373,0.035251041,PRKAR2A;ADCY7;SNAP29
Apoptosis signaling pathway Homo sapiens P00006,0.043192321,NFKBIA;MAP3K1;PRKCA;EIF2S1;NFKB1;ATF4
